Reference to the requirement,Requirement description,Actor(s) affected or concerned by the requirement,High-level Processes,Categories
Article 42(1)(d),"The common Union system for returns must include digital systems for managing return, readmission and reintegration of third- country nationals.",Member States,Establishment of digital systems,Digital solution
Article 7(7),Obligation to make available in the Schengen Information System the,Member States,Recording of data,Data
