Reference to the requirement,Requirement description,Actor affected or concerned by the requirement,High-level Processes,Category
"Article 1(2), amending Article 13(8) of Council Regulation (EU) 2025/202",Additional reporting requirements regarding the closure period or periods for European eel in the north-east Atlantic. Digital solutions are not envisaged for those reporting requirements in relation to that annual and temporary measure.,Member States,"Data submission, reporting",Data
"Article 1(3) and Annex, amending certain Annexes to Council Regulation (EU) 2025/202","Reporting levels (i.e. individual fishing vessels to Member States), triggers and frequencies, as well as codes for catches of certain fish stocks in relation to the existing reporting requirements under the ‘Fisheries Control Regulation’ (Council Regulation (EC) No 1224/2009) and the relevant digital solutions.",(Flag) Member States and European Commission,"Data submission, reporting",Data
