Digital and/or sectorial policy (when these are applicable),Explanation on how it aligns
AI Act,Not relevant
EU Cybersecurity framework,Based on the existing statistical infrastructure
eIDAS,Not relevant
Single Digital Gateway and IMI,Not relevant
Others,Reuses relevant data sources set by sectorial policies
