Data flows
Type of data,Reference(s) to the requirement(s),Actor who provides the data,Actor who receives the data,Trigger for the data exchange,Frequency (if applicable)
Catches of certain fish stocks at a certain level,Article 1 (2) and Annex,flag Member States,European Commission,Certain frequency or overall catch level,Weekly to annually
Catches of certain fish stocks at a certain level (in certain cases),Article 1 (2) and Annex,European Commission,RFMO Secretariat,Reception of flag Member State reporting,Weekly to annually
