Digital solution,Referen ce(s) to the require ment(s),Main mandated functionalities,Responsible body,How is accessibil ity catered for?,How is reusability considered?,Use of AI techno logies (if applic able)
BBNJ Clearing house,"Article 6, Article 7",Prepare and submit information. Control submissions. List submissions.,UN,N/A,N/A,N/A
Digital platform if EU/natio nal addition al data elements are needed,"Article 6, Article 7",Prepare and submit information,MS and/or Commission,Existing infrastruc ture,to be further explored and assessed
