"Digital solution","Reference(s) to the requirement(s)","Main mandated functionalities","Responsible body","How is accessibility catered for?","How is reusability considered?","Use of AI technologies (if applicable)"
"European statistical systems working with non- financial commercial real estate","Article 4; Article 5; Article 6","Receive data, reference metadata quality reports on statistics on non- financial commercial real estate from Member States","European Commission (Eurostat)","Uses the existing infrastructure","Uses the existing infrastructure","Not specified"
"National statistical systems working with non- financial commercial real estate","Article 4; Article 5; Article 6","Receive, store and process source data and compile statistics on non-financial commercial real estate","Member State","Uses the existing infrastructure","Uses the existing infrastructure","Not specified"
