Article 6 paragraph 3,EC publishes online the list of MS designated authorities,"EC, MS",Publish,Data
Article 12,Combination of environmental assessments required under several legal bases via joint or coordinated procedures,Project promoter National authority,Assess strategic projects for more legal bases,Data Digital solution Digital public service
Article 13 Paragraph 1,Availability of relevant spatial planning data,MS,Make available spatial planning data,Data Digital solution
Article 13 Paragraph 2,Combination of plans assessments,MS,Assess plans for more legal bases,Data Digital public service
Article 16,Request assessment of addressing vulnerability Inform on the existence of Strategic projects addressing an existing vulnerability,"Project promoter, Designated authority Commission",Request for assessment Inform on addressed vulnerabilities,Data Digital solution Digital public service
Chapter IV,Public procurement rules for critical medicine products,"Member States Public administrations, Economic operator",Launch procurement,Data
Article 19,Notification of national programmes,Member States Commission CMG,Notification of national programmes,Data
