Type of data,Reference(s) to the requirement(s),Actor who provides the data,Actor who receives the data,Trigger for the data exchange,Frequency (if applicable)
Catches of certain fish stocks at a certain level,Article 1(2) and Annex,(Flag) Member States,European Commission,Certain frequency or overall catch level,Weekly to annually
Catches of certain fish stocks at a certain level (in certain cases),Article 1(2) and Annex,European Commission,RFMO Secretariat,Certain frequency or reception of flag Member States data,Weekly to annually
