Reference to requirement,Requirement description,Stakeholder categories affected,High-level processes affected by this requirement,Category
Article 6 paragraph 1,Recognition of Strategic Projects,Project promoter National authority,Request recognition of Strategic project,Data Digital Public Service
Article 6 paragraph 2,Member States shall communicate to the Commission which authority is designated for assessing and confirming Strategic Projects;,"EC, MS",Notify,Data Digital Public Service
