Reference to the requirement,Requirement description,Actor affected or concerned by the requirement,High-level Processes,Category
Article 1(6),The Commission is empowered to define rules and provisions on the electronic,- Commission - Stakeholders - General public,Labelling of grapevine products,Digital solution
