4. DIGITAL DIMENSIONS 4.1. Requirements of digital relevance,4. DIGITAL DIMENSIONS 4.1. Requirements of digital relevance,4. DIGITAL DIMENSIONS 4.1. Requirements of digital relevance,4. DIGITAL DIMENSIONS 4.1. Requirements of digital relevance,4. DIGITAL DIMENSIONS 4.1. Requirements of digital relevance
Reference to the requirement,Requirement description,Actor affected or concerned by the requirement,High- level Processe s,Category
Article 5,"Member States shall ensure that collection in situ of marine genetic resources is carried out with due regard for the rights and legitimate interests of coastal states in areas within their national jurisdiction and with due regard for the interests of other states in areas beyond national jurisdiction, in accordance with the United Nations Convention on the Law of the Sea. For this purpose, Member States shall cooperate, as appropriate, including using the BBNJ Clearing-House Mechanism, in order to implement the provisions of this Chapter. Member States shall cooperate, as appropriate, including using the BBNJ Clearing- House Mechanism, in order to implement the provisions of this Chapter.",Member states,Data collection,Data; Digital solution
